iter	Passed	Remaining
0	48	48574
1	49	24560
2	49	16565
3	50	12553
4	50	10143
5	51	8534
6	52	7384
7	52	6521
8	53	5855
9	53	5319
10	54	4882
11	54	4525
12	57	4338
13	57	4079
14	58	3841
15	59	3632
16	59	3447
17	60	3280
18	60	3134
19	61	2999
20	61	2876
21	62	2765
22	62	2662
23	63	2568
24	63	2482
25	64	2402
26	64	2328
27	65	2258
28	65	2194
29	66	2135
30	66	2079
31	67	2028
32	67	1979
33	68	1933
34	68	1890
35	71	1924
36	72	1889
37	73	1854
38	73	1819
39	74	1785
40	74	1752
41	75	1720
42	75	1691
43	76	1662
44	77	1637
45	77	1611
46	78	1587
47	78	1563
48	79	1539
49	79	1517
50	80	1496
51	80	1475
52	81	1456
53	81	1436
54	82	1418
55	83	1400
56	83	1382
57	84	1371
58	85	1359
59	86	1359
60	87	1352
61	88	1339
62	89	1324
63	89	1310
64	90	1296
65	90	1282
66	91	1270
67	91	1257
68	92	1245
69	92	1232
70	93	1221
71	93	1209
72	94	1198
73	94	1187
74	95	1178
75	96	1168
76	96	1157
77	97	1148
78	97	1138
79	98	1128
80	98	1122
81	101	1133
82	101	1122
83	102	1116
84	103	1109
85	103	1101
86	104	1092
87	104	1084
88	105	1075
89	105	1067
90	106	1060
91	106	1052
92	107	1044
93	107	1036
94	108	1029
95	108	1021
96	108	1014
97	109	1008
98	110	1001
99	110	994
100	110	987
101	111	981
102	111	974
103	113	974
104	113	971
105	114	966
106	115	964
107	116	962
108	117	959
109	118	955
110	118	950
111	119	945
112	119	939
113	120	934
114	120	930
115	121	925
116	121	919
117	122	914
118	122	909
119	123	904
120	123	899
121	124	894
122	124	889
123	125	885
124	125	881
125	126	876
126	126	871
127	128	875
128	129	873
129	130	870
130	131	869
131	131	867
132	132	863
133	133	860
134	133	856
135	134	853
136	135	850
137	136	849
138	136	846
139	137	843
140	137	840
141	138	835
142	138	832
143	139	829
144	140	826
145	140	823
146	141	820
147	141	816
148	142	814
149	143	811
150	144	809
151	145	809
152	145	807
153	146	805
154	147	801
155	147	799
156	148	795
157	148	792
158	149	789
159	149	786
160	150	781
161	150	778
162	150	775
163	151	772
164	152	769
165	152	766
166	153	763
167	153	760
168	154	758
169	154	755
170	155	752
171	155	749
172	156	746
173	158	751
174	159	751
175	161	758
176	162	756
177	163	754
178	164	752
179	164	750
180	165	747
181	166	746
182	166	743
183	167	740
184	167	738
185	168	735
186	168	732
187	169	730
188	169	727
189	170	725
190	170	723
191	171	720
192	172	720
193	173	721
194	174	721
195	175	718
196	175	717
197	176	715
198	177	713
199	177	711
200	178	708
201	178	706
202	179	704
203	179	701
204	180	699
205	180	697
206	181	694
207	181	692
208	182	690
209	182	688
210	183	686
211	183	683
212	184	681
213	184	679
214	185	677
215	185	674
216	186	672
217	186	670
218	187	668
219	188	668
220	189	666
221	189	664
222	191	668
223	192	666
224	192	664
225	193	662
226	193	660
227	194	658
228	195	656
229	195	654
230	196	652
231	196	650
232	197	648
233	197	646
234	198	644
235	198	642
236	199	641
237	199	639
238	200	637
239	200	635
240	201	633
241	201	631
242	202	630
243	203	630
244	204	629
245	204	628
246	205	626
247	206	625
248	206	624
249	207	622
250	207	620
251	209	620
252	210	620
253	210	619
254	211	617
255	211	615
256	212	613
257	212	612
258	213	610
259	213	609
260	214	607
261	215	605
262	215	604
263	217	605
264	217	603
265	218	602
266	219	602
267	220	603
268	221	601
269	222	600
270	222	598
271	223	597
272	224	599
273	225	598
274	226	596
275	226	595
276	227	593
277	228	592
278	228	591
279	229	589
280	229	588
281	230	587
282	231	586
283	232	585
284	232	584
285	233	583
286	234	583
287	236	585
288	240	591
289	241	591
